epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,587.618,0.67319,0.66444,0.9066,0.92694,0.93922,0.96572,0.76216,0.65169,0.56575,0.83092,0.000327957,0.000327957,0.000327957
2,1229.03,0.66454,0.63492,0.89733,0.90499,0.88901,0.95654,0.73563,0.70126,0.71695,0.8615,0.000654744,0.000654744,0.000654744
3,1862.02,0.67166,0.62037,0.89623,0.87246,0.93505,0.96785,0.75576,0.66278,0.56684,0.82959,0.00097493,0.00097493,0.00097493
4,2529.01,0.66762,0.6088,0.89666,0.91864,0.91354,0.95531,0.72073,0.7138,0.57358,0.83413,0.0009703,0.0009703,0.0009703
5,3225.2,0.65414,0.59112,0.8924,0.91594,0.93417,0.97061,0.76318,0.67236,0.55715,0.82899,0.0009604,0.0009604,0.0009604
6,3895.18,0.62756,0.55986,0.88681,0.93708,0.95308,0.97946,0.77013,0.63777,0.5391,0.82665,0.0009505,0.0009505,0.0009505
7,4570.06,0.6328,0.55558,0.88442,0.93592,0.95064,0.9733,0.78625,0.61259,0.48181,0.81697,0.0009406,0.0009406,0.0009406
8,5184.97,0.62099,0.51863,0.88092,0.88214,0.94376,0.95019,0.76869,0.61486,0.49224,0.81857,0.0009307,0.0009307,0.0009307
9,5800.29,0.62164,0.52071,0.88005,0.91441,0.93593,0.97448,0.75081,0.67655,0.54636,0.82707,0.0009208,0.0009208,0.0009208
10,6413.66,0.61378,0.50785,0.8763,0.94494,0.9331,0.97313,0.77722,0.63302,0.49737,0.81311,0.0009109,0.0009109,0.0009109
11,7003.03,0.60438,0.48319,0.87523,0.90516,0.92872,0.97113,0.78043,0.6157,0.46803,0.81219,0.000901,0.000901,0.000901
12,7604.17,0.60394,0.48461,0.87574,0.89664,0.88913,0.96367,0.76511,0.64074,0.56033,0.82913,0.0008911,0.0008911,0.0008911
13,8271.44,0.60104,0.4763,0.87171,0.96494,0.97396,0.98392,0.80409,0.59461,0.41071,0.80421,0.0008812,0.0008812,0.0008812
14,9013.6,0.60105,0.46859,0.87104,0.93011,0.93167,0.96981,0.77465,0.63903,0.47153,0.82434,0.0008713,0.0008713,0.0008713
15,9695.45,0.58959,0.45006,0.87075,0.97411,0.98476,0.99176,0.81439,0.56173,0.37769,0.79151,0.0008614,0.0008614,0.0008614
16,10328,0.58731,0.44199,0.87027,0.96551,0.98327,0.98723,0.80858,0.58247,0.39499,0.80109,0.0008515,0.0008515,0.0008515
17,11009.5,0.58077,0.44329,0.86768,0.96882,0.97,0.98516,0.80844,0.57677,0.38773,0.79826,0.0008416,0.0008416,0.0008416
18,11660.1,0.57619,0.43161,0.86215,0.9467,0.97177,0.98593,0.81215,0.5736,0.39366,0.79748,0.0008317,0.0008317,0.0008317
19,12303.6,0.58023,0.42183,0.8631,0.97111,0.98129,0.985,0.78194,0.67773,0.40749,0.81209,0.0008218,0.0008218,0.0008218
20,12909.1,0.58209,0.42744,0.86639,0.94683,0.97365,0.9858,0.81048,0.58389,0.38052,0.79546,0.0008119,0.0008119,0.0008119
21,13515.9,0.57263,0.42918,0.86446,0.91955,0.93358,0.9789,0.80496,0.57583,0.42104,0.80226,0.000802,0.000802,0.000802
22,14207.3,0.57362,0.41751,0.86269,0.94752,0.96661,0.98403,0.79241,0.6104,0.37724,0.79624,0.0007921,0.0007921,0.0007921
23,14916.1,0.57387,0.41641,0.86159,0.97265,0.97936,0.98722,0.80964,0.59014,0.37532,0.79648,0.0007822,0.0007822,0.0007822
24,15524.3,0.56034,0.4091,0.86017,0.95357,0.96549,0.98495,0.81095,0.58795,0.39105,0.81025,0.0007723,0.0007723,0.0007723
25,16272,0.56399,0.40415,0.85984,0.95914,0.95993,0.9832,0.81552,0.56694,0.36293,0.79391,0.0007624,0.0007624,0.0007624
26,16988.7,0.55814,0.39885,0.86015,0.97911,0.98579,0.99243,0.82685,0.55531,0.35622,0.79531,0.0007525,0.0007525,0.0007525
27,17562,0.56206,0.40243,0.85802,0.97275,0.98227,0.99125,0.81883,0.56649,0.35056,0.79134,0.0007426,0.0007426,0.0007426
28,18128.2,0.55592,0.38516,0.85823,0.96187,0.98225,0.98595,0.83036,0.55043,0.33899,0.79504,0.0007327,0.0007327,0.0007327
29,18693.4,0.55928,0.38475,0.85816,0.96378,0.98549,0.99155,0.82249,0.54991,0.34944,0.79353,0.0007228,0.0007228,0.0007228
30,19256.9,0.55048,0.38299,0.85447,0.93874,0.98334,0.96094,0.80153,0.55769,0.35487,0.80182,0.0007129,0.0007129,0.0007129
31,19817,0.55595,0.39304,0.85939,0.98014,0.98491,0.9886,0.82389,0.55727,0.34178,0.79508,0.000703,0.000703,0.000703
32,20381.5,0.55043,0.38239,0.85784,0.974,0.98742,0.98807,0.821,0.57278,0.34256,0.79712,0.0006931,0.0006931,0.0006931
33,20945,0.54154,0.37442,0.85466,0.8979,0.96119,0.9389,0.78496,0.57715,0.39457,0.80696,0.0006832,0.0006832,0.0006832
34,21505.5,0.54588,0.38282,0.85832,0.96867,0.98901,0.99158,0.83289,0.53699,0.323,0.78651,0.0006733,0.0006733,0.0006733
35,22069.9,0.55009,0.37731,0.85477,0.97751,0.98913,0.9926,0.83173,0.54552,0.33388,0.79299,0.0006634,0.0006634,0.0006634
36,22634.9,0.54408,0.37258,0.85396,0.96956,0.98246,0.98884,0.81742,0.56265,0.33934,0.80162,0.0006535,0.0006535,0.0006535
37,23197.2,0.54704,0.37176,0.85632,0.95208,0.96459,0.97216,0.81187,0.56582,0.35521,0.79639,0.0006436,0.0006436,0.0006436
38,23755.1,0.54134,0.36936,0.8532,0.97413,0.99186,0.98964,0.8298,0.54332,0.31563,0.78546,0.0006337,0.0006337,0.0006337
39,24316.2,0.53212,0.36183,0.85099,0.97863,0.98646,0.9898,0.83239,0.53884,0.30918,0.78631,0.0006238,0.0006238,0.0006238
40,24877,0.52485,0.35906,0.8499,0.96609,0.96268,0.99,0.82938,0.55459,0.3574,0.79053,0.0006139,0.0006139,0.0006139
41,25428.1,0.53456,0.35756,0.8539,0.95683,0.97723,0.9863,0.83644,0.53682,0.32938,0.79024,0.000604,0.000604,0.000604
42,25981.5,0.53702,0.36339,0.85579,0.98251,0.98883,0.99033,0.83155,0.54481,0.31905,0.78948,0.0005941,0.0005941,0.0005941
43,26529.3,0.52982,0.35851,0.85498,0.97529,0.98949,0.98947,0.83249,0.53626,0.32215,0.78983,0.0005842,0.0005842,0.0005842
44,27077.7,0.52709,0.35015,0.85306,0.96978,0.97749,0.98474,0.8204,0.56632,0.32591,0.79762,0.0005743,0.0005743,0.0005743
45,27634.6,0.52414,0.34723,0.85065,0.98487,0.98903,0.99057,0.83322,0.54599,0.31094,0.7873,0.0005644,0.0005644,0.0005644
46,28190.2,0.52603,0.35021,0.84954,0.97538,0.9887,0.99056,0.83787,0.5336,0.31135,0.78291,0.0005545,0.0005545,0.0005545
47,28743.3,0.52984,0.35463,0.85373,0.976,0.98297,0.99024,0.83888,0.52687,0.30985,0.78828,0.0005446,0.0005446,0.0005446
48,29298.4,0.52285,0.34452,0.85109,0.98588,0.99206,0.98981,0.84112,0.52975,0.29975,0.78294,0.0005347,0.0005347,0.0005347
49,29857.8,0.51251,0.33768,0.84886,0.94676,0.98161,0.97199,0.8214,0.53036,0.32234,0.78898,0.0005248,0.0005248,0.0005248
50,30415.4,0.51143,0.33625,0.84822,0.9808,0.98581,0.99153,0.84268,0.53134,0.30722,0.78279,0.0005149,0.0005149,0.0005149
51,30968.1,0.51549,0.34137,0.84845,0.97282,0.98391,0.99276,0.83775,0.53035,0.30767,0.78322,0.000505,0.000505,0.000505
52,31524.6,0.51258,0.33865,0.84612,0.97722,0.99139,0.99121,0.83786,0.53143,0.29893,0.78772,0.0004951,0.0004951,0.0004951
53,32084,0.50991,0.33039,0.84858,0.98131,0.98771,0.99257,0.8432,0.52689,0.29736,0.79041,0.0004852,0.0004852,0.0004852
54,32641.2,0.50982,0.3277,0.84876,0.9812,0.99002,0.99057,0.84264,0.54251,0.30146,0.79791,0.0004753,0.0004753,0.0004753
55,33204.1,0.51331,0.33097,0.84639,0.96238,0.98182,0.97866,0.8307,0.52946,0.30222,0.78966,0.0004654,0.0004654,0.0004654
56,33767.1,0.51432,0.33307,0.84817,0.97294,0.98969,0.99026,0.8428,0.52211,0.29662,0.78744,0.0004555,0.0004555,0.0004555
57,34331.8,0.51367,0.33416,0.84937,0.96463,0.97298,0.98308,0.8285,0.5483,0.3134,0.79581,0.0004456,0.0004456,0.0004456
58,34898.4,0.50863,0.32847,0.84807,0.98113,0.99294,0.99065,0.8448,0.51855,0.28665,0.78247,0.0004357,0.0004357,0.0004357
59,35466.4,0.50754,0.32568,0.84744,0.96713,0.99,0.98738,0.83772,0.53657,0.29437,0.78898,0.0004258,0.0004258,0.0004258
